,stationid,tempc,feelsc,windspeed_kph,winddir_deg,pressure_mb,precip_mm,humidity,visibility_km,cloud,weather_code,extra_weather_text,uvindex,isday,updatedon,lat,lon
5539,11336985,-6,-6.0,9.0,350.0,1028.8,0.0,44.0,16.0,0.0,1000.0,Sunny,2.0,1.0,2022-02-05 15:00,36.2099990844727,-115.980003356934
5540,11337318,-1,-4.22,0.0,232.2,1033.5,0.0,74.0,16.0,0.0,1000.0,Sunny,2.0,1.0,2022-02-05 15:00,31.2000007629395,-101.440002441406
5541,11337651,5.7,4.0,7.9,346.0,1016.0,0.0,89.1,10.0,8.5,1000.0,Clear,1.0,0.0,2022-02-05 15:00,27.0799999237061,88.4700012207031
5542,11337984,-4,-10.71,20.2,270.0,1005.4,0.0,80.0,14.0,25.0,1003.0,Partly cloudy,2.0,1.0,2022-02-05 15:00,50.2799987792969,-107.680000305176
5543,11338317,8.3,7.4,6.5,265.1,1013.1,0.0,54.5,10.0,4.1,1000.0,Clear,1.0,0.0,2022-02-05 15:00,29.6200008392334,51.6500015258789
5544,11338650,17.6,17.6,8.6,68.1,1016.6,0.0,90.9,10.0,22.3,1000.0,Clear,1.0,0.0,2022-02-05 15:00,16.3700008392334,120.660003662109
5545,11338983,27,32.38,20.2,320.0,1013.9,0.3,70.0,10.0,50.0,1003.0,Partly cloudy,5.0,1.0,2022-02-05 15:00,-22.9500007629395,-46.5400009155273
5546,11339316,26.1,27.6,9.7,294.3,1007.8,0.1,65.7,10.0,56.5,1063.0,Patchy rain possible,6.0,1.0,2022-02-05 15:00,-29.1700000762939,-51.1800003051758
5547,11339649,-2,-6.68,9.0,290.0,1029.5,0.0,63.0,16.0,75.0,1003.0,Partly cloudy,2.0,1.0,2022-02-05 15:00,36.9799995422363,-82.5299987792969
5548,11339982,-4.1,-8.64,6.1,60.0,1016.0,0.0,92.0,10.0,0.0,1000.0,Clear,1.0,0.0,2022-02-05 15:00,58.4199981689453,-130.020004272461
5549,11340315,-10,-15.2,9.7,175.0,1026.3,0.0,89.8,10.0,75.3,1006.0,Cloudy,1.0,0.0,2022-02-05 15:00,40.3199996948242,36.560001373291
