lat,lon,temp,pressure,humidity,dew_point,uvi,clouds,wind_speed,wind_deg,wind_gust,probability,Power (W)
53.5,-3.0,283.75,1020,87,281.68,0.0,40,9.77,270,15.43,0.3589302,2076346.98
53.5,-2.5,283.94,1020,82,280.99,0.0,53,5.81,283,11.62,0.39108515,886789.49
53.5,-2.0,281.8,1018,81,278.73,0.0,97,8.58,287,20.61,0.706199,4948073.34
53.5,-1.5,283.47,1017,74,279.04,0.0,96,9.96,296,21.51,0.5292487,5625011.11
53.5,-1.0,284.4,1016,66,278.29,0.0,20,13.89,280,20.58,0.6660447,4926497.47
53.5,-0.5,284.38,1015,70,279.12,0.0,20,9.26,270,14.4,0.641286,1687678.2
53.5,0.0,284.31,1014,66,278.2,0.0,88,10.8,270,15.95,0.6183401,2293423.27
53.5,0.5,283.95,1014,73,279.31,0.0,100,13.9,289,19.91,0.6416304,4460832.68
53.5,1.0,283.79,1013,75,279.55,0.0,100,13.91,290,20.81,0.28711805,5093524.43
53.5,1.5,284.26,1013,76,280.19,0.0,94,13.69,291,21.01,0.4934038,5241798.36
53.5,2.0,281.85,1012,78,278.23,0.0,78,13.1,294,20.31,0.49930394,4735130.18
54.0,-8.0,281.77,1024,84,279.22,0.04,100,4.5,287,13.11,0.49254677,1273533.07
54.0,-7.5,284.15,1024,83,281.38,0.08,100,5.04,285,13.51,0.35466692,1393696.47
54.0,-7.0,283.62,1023,82,280.68,0.12,82,7.51,290,15.41,0.5645616,2068283.51
54.0,-6.5,284.02,1022,84,281.43,0.13,59,4.47,297,7.6,0.6216309,248109.2
54.0,-6.0,284.35,1022,76,280.28,0.12,43,10.54,290,16.61,0.6077353,2590067.31
54.0,-5.5,284.21,1022,77,280.34,0.0,60,10.66,289,15.01,0.49233824,1911367.64
54.0,-5.0,284.21,1021,78,280.53,0.0,57,11.86,290,16.81,0.6696717,2684758.92
54.0,-4.5,284.21,1019,71,279.16,0.0,20,14.92,290,18.33,0.3576717,3480883.98
54.0,-4.0,284.22,1020,78,280.54,0.0,53,10.05,293,14.51,0.39422217,1726650.31
54.0,-3.5,283.19,1020,81,280.08,0.0,56,11.23,296,17.31,0.45403916,2931523.34
54.0,-3.0,283.21,1019,100,283.21,0.0,98,11.05,294,18.11,0.6578615,3357047.64
54.0,-2.5,280.33,1018,86,278.15,0.0,96,12.55,292,21.21,0.6004548,5392922.25
54.0,-2.0,281.43,1016,79,278.01,0.0,99,13.74,288,24.41,0.3034199,8220637.38
54.0,-1.5,283.44,1014,75,279.21,0.0,20,6.71,312,12.96,0.66329837,1230317.38
54.0,-1.0,283.87,1015,74,279.43,0.0,99,10.55,290,19.81,0.6097567,4393954.75
54.0,-0.5,283.82,1013,66,277.74,0.0,100,6.17,270,18.33,0.5952075,3480883.98
54.0,0.0,284.1,1013,70,278.85,0.0,100,12.69,293,18.11,0.58966374,3357047.64
54.0,0.5,283.78,1013,73,279.15,0.0,98,12.67,296,19.31,0.64055395,4069574.23
54.0,1.0,283.71,1012,74,279.28,0.0,89,14.02,299,21.01,0.65698516,5241798.36
54.0,1.5,283.71,1012,77,279.85,0.0,100,13.9,301,20.81,0.6618107,5093524.43
54.0,2.0,283.15,1011,78,279.5,0.0,97,13.66,302,20.91,0.596367,5167306.85
54.5,-8.0,281.81,1023,91,280.43,0.12,97,6.78,284,14.01,0.61737186,1554234.55
54.5,-7.5,283.41,1023,84,280.83,0.13,76,6.17,290,14.01,0.40169993,1554234.55
54.5,-7.0,282.49,1022,81,279.4,0.12,47,6.3,286,15.21,0.581606,1988793.97
54.5,-6.5,283.55,1022,77,279.7,0.11,75,7.52,287,13.71,0.7343698,1456513.51
54.5,-6.0,283.02,1021,76,278.99,0.0,57,5.66,310,10.29,0.523166,615812.18
54.5,-5.5,283.9,1020,78,280.22,0.0,77,11.36,293,17.01,0.5738668,2781730.77
54.5,-5.0,284.1,1020,79,280.6,0.0,54,12.31,296,17.71,0.4274608,3139480.84
54.5,-4.5,284.21,1019,81,281.08,0.0,53,13.62,296,20.11,0.6243159,4596617.49
54.5,-4.0,282.6,1019,82,279.69,0.0,71,15.5,298,22.31,0.58124727,6276259.10
54.5,-3.5,281.21,1018,88,279.35,0.0,100,2.68,335,8.05,0.86330575,294842.30
54.5,-3.0,279.0,1017,85,276.68,0.0,88,12.38,296,22.31,0.6342601,6276259.10
54.5,-2.5,281.69,1017,76,277.71,0.0,98,10.63,292,20.61,0.615173,4948073.34
54.5,-2.0,281.3,1014,78,277.7,0.0,100,12.72,287,24.91,0.58160216,8736215.45
54.5,-1.5,283.46,1014,67,277.61,0.0,20,12.86,290,18.33,0.52342945,3480883.98
54.5,-1.0,281.82,1005,65,275.62,0.0,100,11.18,286,13.86,0.5494829,1504845.26
54.5,-0.5,283.54,1012,70,278.31,0.0,95,7.15,304,12.07,0.45027837,993857.14
54.5,0.0,283.5,1012,74,279.07,0.0,100,14.61,300,21.11,0.30139652,5317002.36
54.5,0.5,283.71,1012,74,279.28,0.0,98,14.2,302,21.21,0.45596832,5392922.25
54.5,1.0,283.71,1013,1,233.09,0.0,100,5.81,295,12.52,0.57742023,1109213.48
