,lat,lon,temp,pressure,humidity,dew_point,uvi,clouds,wind_speed,wind_deg,wind_gust,probability
0,53.9624,-1.9142,282.6,1015.0,78.0,278.96,0.0,20.0,5.81,282.0,10.28,1
0,57.6262,-2.5811,278.92,1009.0,75.0,274.84,0.0,78.0,15.67,296.0,23.66,1
0,57.6219,-2.0425,279.15,1008.0,73.0,274.68,0.0,49.0,16.27,300.0,24.87,1
0,53.7742,-1.9368,281.25,1017.0,83.0,278.54,0.0,98.0,12.53,291.0,23.22,1
0,51.5944,-3.4633,282.5,1024.0,85.0,280.11,0.04,100.0,8.78,296.0,15.78,1
0,54.8066,-7.3341,282.04,1022.0,85.0,279.66,0.1,74.0,7.6,285.0,14.49,1
0,53.6277,-0.6672,283.9,1014.0,76.0,279.85,0.0,84.0,14.75,289.0,17.43,1
0,54.6912,-7.4063,282.83,1022.0,84.0,280.26,0.1,68.0,7.09,286.0,14.25,1
0,55.0822,-1.5864,283.17,1013.0,63.0,276.46,0.0,20.0,10.8,280.0,16.3,1
0,56.9552,-3.1772,277.56,1010.0,69.0,272.47,0.0,83.0,12.64,301.0,24.18,1
0,53.6823,-1.0072,284.21,1016.0,77.0,280.34,0.0,83.0,11.08,291.0,20.63,1
0,54.783,-3.3854,282.6,1018.0,78.0,278.96,0.0,99.0,8.99,284.0,15.25,1
0,54.6712,-3.5401,282.55,1018.0,88.0,280.67,0.0,97.0,10.13,291.0,15.77,1
0,53.7015,-2.1681,281.11,1018.0,86.0,278.92,0.0,93.0,5.36,44.0,11.62,1
0,57.5767,-3.7992,280.33,1011.0,71.0,275.43,0.0,40.0,2.24,242.0,8.94,1
0,53.1175,-1.1516,284.0,1018.0,73.0,279.36,0.0,99.0,9.09,291.0,18.92,1
0,56.0543,-4.0497,280.61,1015.0,66.0,274.68,0.0,99.0,9.64,290.0,20.18,1
0,55.6863,-2.1502,282.83,1012.0,66.0,276.79,0.0,100.0,12.36,292.0,21.94,1
0,53.7444,-0.2365,284.38,1014.0,50.0,274.35,0.0,100.0,2.24,310.0,8.05,1
0,53.7568,-0.9377,284.17,1015.0,77.0,280.3,0.0,89.0,11.27,290.0,20.37,1
0,54.9139,-1.4808,283.35,1013.0,68.0,277.71,0.0,20.0,10.8,280.0,16.3,1
0,52.2344,-0.603,285.6,1019.0,63.0,278.76,0.0,20.0,9.77,280.0,16.3,1
0,53.6698,-1.0413,284.29,1016.0,75.0,280.03,0.0,84.0,10.93,291.0,20.68,1
0,51.7573,-3.9516,282.31,1025.0,80.0,279.05,0.06,95.0,8.94,303.0,15.64,1
0,50.6349,-4.7077,282.17,1028.0,93.0,281.1,0.09,99.0,8.86,297.0,14.47,1
0,55.1021,-1.625,283.25,1013.0,63.0,276.53,0.0,20.0,10.8,280.0,16.3,1
0,51.7592,-4.5337,283.24,1025.0,82.0,280.31,0.08,90.0,10.8,290.0,16.3,1
0,55.7554,-3.8229,281.33,1015.0,82.0,278.44,0.0,100.0,0.89,195.0,3.13,1
0,52.5127,0.0314,285.2,1016.0,73.0,280.51,0.0,95.0,6.26,298.0,13.86,1
0,52.5106,0.0373,285.2,1016.0,73.0,280.51,0.0,95.0,6.26,298.0,13.86,1
0,53.5756,-1.6293,282.89,1017.0,81.0,279.79,0.0,97.0,9.51,293.0,21.38,1
0,54.7638,-1.8228,281.7,1014.0,73.0,277.14,0.0,99.0,13.06,298.0,24.43,1
0,51.9112,-4.5907,283.13,1025.0,89.0,281.4,0.08,92.0,8.81,294.0,15.61,1
0,54.3055,-7.6996,281.75,1023.0,85.0,279.37,0.12,96.0,4.4,288.0,13.43,1
0,54.6709,-6.9498,282.97,1021.0,84.0,280.4,0.0,65.0,8.05,289.0,16.22,1
0,54.3833,-6.1333,283.02,1021.0,78.0,279.37,0.11,48.0,8.77,290.0,16.76,1
0,54.9325,-6.2086,282.0,1021.0,84.0,279.45,0.0,80.0,8.96,291.0,16.84,1
0,54.7743,-3.3499,282.37,1018.0,78.0,278.74,0.0,100.0,8.82,283.0,15.47,1
0,52.1903,-0.6775,285.77,1019.0,70.0,280.45,0.0,20.0,9.77,280.0,16.3,1
0,53.4866,-2.2024,283.86,1018.0,77.0,280.0,0.0,90.0,2.68,108.0,6.71,1
0,56.0105,-3.7589,282.83,1014.0,66.0,276.79,0.0,100.0,9.64,287.0,20.78,1
0,57.5876,-2.0091,279.14,1008.0,76.0,275.24,0.0,43.0,15.85,301.0,24.71,1
0,56.4082,-4.1591,280.32,1014.0,76.0,276.38,0.0,99.0,11.24,296.0,22.11,1
0,52.1328,-0.6865,286.32,1019.0,60.0,278.74,0.0,20.0,0.89,285.0,2.24,1
0,53.6153,-0.4015,283.99,1015.0,57.0,275.82,0.0,20.0,9.26,270.0,14.4,1
0,58.2957,-3.3294,278.84,1008.0,73.0,274.39,0.0,63.0,15.78,302.0,24.14,1
0,57.851,-4.5873,279.85,1012.0,83.0,277.17,0.0,92.0,11.62,291.0,20.17,1
0,56.668,-3.0431,281.4,1011.0,65.0,275.22,0.0,74.0,12.5,301.0,23.42,1
0,57.1128,-2.5209,278.02,1009.0,72.0,273.4,0.0,55.0,12.15,304.0,23.26,1
0,56.6732,-5.6816,282.33,1017.0,83.0,279.6,0.0,100.0,8.73,298.0,15.8,1
0,60.3175,-1.1773,278.75,998.0,75.0,274.67,0.0,69.0,14.3,308.0,18.98,1
0,56.7398,-4.3387,278.69,1014.0,80.0,275.52,0.0,100.0,11.36,288.0,20.75,1
