,tempc,feelsc,windspeed_kph,winddir_deg,pressure_mb,precip_mm,humidity,visibility_km,cloud,weather_code,uvindex,isday,updatedon,a,Unnamed: 0,stationid,b,c,lat,lon
132,11,7.04,38.9,240.0,1021.0,0.1,82.0,10.0,50.0,1003.0,3.0,1.0,2022-02-05 15:00,860.0,860,375957,860.0,860.0,49.719448,-6.5429569999999995
133,11,7.1,38.9,240.0,1021.0,0.1,82.0,10.0,50.0,1003.0,3.0,1.0,2022-02-05 15:00,973.0,973,413586,973.0,973.0,49.719448,-6.532957
134,11,7.12,33.1,250.0,1019.0,0.1,66.0,10.0,75.0,1003.0,3.0,1.0,2022-02-05 15:00,981.0,981,416250,981.0,981.0,49.719448,-6.522957
135,11,7.14,28.1,250.0,1020.0,0.2,66.0,10.0,75.0,1003.0,2.0,1.0,2022-02-05 15:00,893.0,893,386946,893.0,893.0,49.719448,-6.512957
136,11,7.19,33.1,250.0,1019.0,0.2,66.0,10.0,75.0,1003.0,2.0,1.0,2022-02-05 15:00,2414.0,2414,4970358,2414.0,2414.0,49.719448,-6.502956999999999
137,11,7.21,28.1,250.0,1020.0,0.2,66.0,10.0,75.0,1003.0,2.0,1.0,2022-02-05 15:00,2768.0,2768,9299358,2768.0,2768.0,49.719448,-6.492957
138,11,7.24,38.9,240.0,1021.0,0.1,82.0,10.0,50.0,1003.0,3.0,1.0,2022-02-05 15:00,938.0,938,401931,938.0,938.0,49.719448,-6.482957
139,11,7.26,28.1,250.0,1020.0,0.2,66.0,10.0,75.0,1003.0,2.0,1.0,2022-02-05 15:00,832.0,832,366633,832.0,832.0,49.719448,-6.472956999999999
140,11,7.29,28.1,250.0,1020.0,0.0,66.0,10.0,75.0,1003.0,4.0,1.0,2022-02-05 15:00,857.0,857,374958,857.0,857.0,49.719448,-6.462956999999999
141,11,7.31,38.9,240.0,1021.0,0.1,82.0,10.0,50.0,1003.0,3.0,1.0,2022-02-05 15:00,877.0,877,381618,877.0,877.0,49.719448,-6.452957
